"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-26","8.50",,"0.00","0.0","0.0","73","81","67","  190","  190","19.9","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-27","13.42",,"0.89","0.0","0.0","65","71","55","   50","   60","25.9","32.0","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-28","7.61",,"0.00","0.0","0.0","57","63","54","  170","  180","15.0","19.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-29","8.05",,"0.00","0.0","0.0","66","79","60","  190","  190","15.0","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-30","8.05",,"0.00","0.0","0.0","64","69","57","  130","  120","17.0","21.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-31","6.71",,"0.03","0.0","0.0","63","67","60","  140","  110","14.1","17.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-01","4.70",,"1.18","0.0","0.0","67","75","63","  160","  160","10.1","13.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-02","10.07",,"0.00","0.0","0.0","75","86","64","   90","   80","23.0","29.1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-03","15.88",,"0.11","0.0","0.0","63","64","51","  100","  100","25.1","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-04","8.50",,"0.61","0.0","0.0","57","71","51","   10","   20","17.0","23.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-05","9.84",,"0.00","0.0","0.0","64","76","53","  270","  260","21.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-06","8.72",,"0.00","0.0","0.0","63","71","56","   30","   30","16.1","19.9",,,,,,,,
